Player,ADP
Brandon Marshall,15.8
Danny Amendola,249
Jermaine Kearse,242
Malcolm Mitchell,241
Jamison Crowder,237.7
Braxton Miller,235.3
Robert Woods,234.7
Keenan Allen,15
Quinton Patton,233.3
Charles Johnson,223.3
Davante Adams,222.7
Jaelen Strong,215
Eli Rogers,211
Josh Doctson,211
Breshad Perriman,209.3
Anquan Boldin,208.3
Terrance Williams,205.7
Nelson Agholor,205.7
Dez Bryant,12.5
Kendall Wright,204.7
Sammie Coates,156.3
Victor Cruz,192
Laquon Treadwell,142
Ted Ginn,185.8
Terrelle Pryor,184.8
Kenny Stills,179.3
Pierre Garcon,174
Mike Wallace,168.8
Dorial Green-Beckham,167.3
Allen Robinson,9.8
William Fuller,164.5
Chris Hogan,159.5
Steve Smith,157
Tyler Boyd,154.5
Rishard Matthews,154
Phillip Dorsett,146.5
Mohamed Sanu,138
Michael Thomas,132
Tajae Sharpe,129.5
Markus Wheaton,125.5
A.J. Green,6
Torrey Smith,123.3
Vincent Jackson,118.5
Devin Funchess,118
Corey Coleman,117
Tavon Austin,116
Travis Benjamin,115.8
Kamar Aiken,112.8
Stefon Diggs,97.3
Willie Snead,95.5
Kevin White,94.8
DeAndre Hopkins,5.8
Sterling Shepard,91
DeVante Parker,88.5
DeSean Jackson,83.3
Michael Crabtree,76.8
Josh Gordon,76.3
Tyler Lockett,72.8
John Brown,70.8
Allen Hurns,69.5
Emmanuel Sanders,67
Marvin Jones,65.8
Odell Beckham,2.8
Jordan Matthews,60.8
Michael Floyd,58.5
Larry Fitzgerald,57.5
Doug Baldwin,51.8
Eric Decker,49
Donte Moncrief,46.5
Kelvin Benjamin,46.3
Golden Tate,45.3
Jeremy Maclin,41.3
Julian Edelman,39.8
Julio Jones,2.3
Randall Cobb,36.5
Jarvis Landry,30
Sammy Watkins,28.5
Demaryius Thomas,28
T.Y. Hilton,28
Brandin Cooks,23.8
Amari Cooper,21.3
Alshon Jeffery,20.3
Jordy Nelson,18.5
Mike Evans,18
Antonio Brown,1
